country,abr,co2_prod,coef_ineq,diff_hdi_phdi,gdi,gii,hdi,ihdi,ineq_edu,ineq_inc,ineq_le,lfpr_f,lfpr_m,loss,mf,mmr,phdi,pr_f,pr_m,se_f,se_m,continent
"Palestine, State of",43.469,0.568234611,17.62148711,10.2770209464152,0.891,0.3972526445895622,0.715,0.584,10.97456434,31.64,10.249897,16.667,66.286,18.32167832,21.227663979035917,27.0,0.6375516870469342,24.70031587889254,75.2996841213582,67.92896271,67.63430786,Asia
Panama,69.912,2.498280904,19.60325211,8.074534161,1.017,0.392,0.805,0.64,11.37222672,36.569706,10.8678236,50.39,72.572,20.49689441,13.48,52.0,0.74,22.53521127,77.46478873,70.17552185,68.69452667,America
Papua New Guinea,55.25,0.74349862,28.47612536,3.046594982,0.931,0.725,0.558,0.397,35.65204,28.89932,20.87701607,46.254,48.14,28.85304659,5.23,145.0,0.541,0.0,100.0,10.78,15.52,Oceania
Paraguay,70.347,1.061291226,18.32046414,9.623430962,0.99,0.445,0.717,0.582,13.15316,30.441064,11.36716843,59.636,84.214,18.82845188,18.93,84.0,0.648,16.8,83.2,52.54085159,53.97874069,America
Peru,56.756,1.355886751,16.42213438,5.380577428,0.95,0.38,0.762,0.635,14.32733,26.300654,8.638419151,66.069,81.875,16.66666667,9.43,88.0,0.721,40.0,60.0,59.31188046,69.93792068,America
Philippines,48.202,1.241254444,17.52378166,5.007153076,0.99,0.419,0.699,0.574,10.0958,28.09546,14.38008499,43.836,68.302,17.88268956,8.77,121.0,0.664,28.04878049,71.95121951,73.35157013,69.08991241,Asia
Poland,9.653,7.9159743,6.831017673,14.04109589,1.008,0.109,0.876,0.816,4.45925,12.10742,3.926383018,49.2,65.489,6.849315068,17.85,2.0,0.753,27.54919499,72.45080501,86.51820374,90.7297821,Europe
Portugal,7.444,3.960866197,10.56989309,8.545034642,0.994,0.067,0.866,0.773,13.05276,15.46189,3.195029259,53.975,62.208,10.73903002,12.25,8.0,0.792,40.0,60.0,59.74694061,61.92316818,Europe
Qatar,7.069,37.01945087,16.558985756279547,42.57309942,1.019,0.22,0.855,0.7214329929552883,11.22725944,34.57751590378402,3.872181892,57.215,95.456,17.302334462583516,33.72,9.0,0.491,4.444444444,95.55555556,79.76019329,69.62825676,Asia
Romania,36.376,3.715362722,10.40918618,10.10962241,0.994,0.282,0.821,0.733,5.43438,20.89714,4.896038532,42.795,62.34,10.71863581,16.04,19.0,0.738,18.49462366,81.50537634,88.81739807,93.70266724,Europe
Russian Federation,14.988,10.8071526,8.408886355,12.28710462,1.016,0.203,0.822,0.751,2.036,17.645,5.545659065,54.489,69.717,8.637469586,9.49,17.0,0.721,16.4516129,83.5483871,92.77286721,95.90374729,Europe
